============================================================================
EXP-063: the interior sweep (t = 1 gauge) + the orientation remark
============================================================================
  remaining interior points: 44 (plus (0,0) trivially free: brackets kill constants)
  1: interior (0,5): pairing 368640  [51 s total]
  1: interior (0,6): pairing 368640  [112 s total]
  1: interior (0,7): pairing 2949120  [184 s total]
  1: interior (1,1): pairing 368640  [242 s total]
  1: interior (1,2): pairing 368640  [296 s total]
  1: interior (1,3): pairing 368640  [350 s total]
  1: interior (1,4): pairing 368640  [416 s total]
  1: interior (1,5): pairing 368640  [505 s total]
  1: interior (1,6): pairing 368640  [576 s total]
  1: interior (1,7): pairing 368640  [640 s total]
  1: interior (1,8): pairing 2949120  [704 s total]
  1: interior (2,2): pairing 368640  [773 s total]
  1: interior (2,3): pairing 368640  [841 s total]
  1: interior (2,4): pairing 368640  [900 s total]
  1: interior (2,5): pairing 368640  [957 s total]
  1: interior (2,6): pairing 1105920  [1051 s total]
  1: interior (2,7): pairing 368640  [1135 s total]
  1: interior (2,8): pairing 368640  [1206 s total]
  1: interior (2,9): pairing 2949120  [1291 s total]
  1: interior (3,4): pairing 368640  [1362 s total]
  1: interior (3,5): pairing 368640  [1442 s total]
  1: interior (3,6): pairing 368640  [1522 s total]
  1: interior (3,7): pairing 368640  [1626 s total]
  1: interior (3,8): pairing 368640  [1719 s total]
  1: interior (3,9): pairing 368640  [1791 s total]
  1: interior (3,10): pairing 2949120  [1871 s total]
  1: interior (4,6): pairing 1105920  [1945 s total]
  1: interior (4,7): pairing 368640  [2030 s total]
  1: interior (4,8): pairing 1105920  [2118 s total]
  1: interior (4,9): pairing 368640  [2215 s total]
  1: interior (4,10): pairing 368640  [2316 s total]
  1: interior (4,11): pairing 2949120  [2414 s total]
  1: interior (5,8): pairing 2580480  [2505 s total]
  1: interior (5,9): pairing 1105920  [2608 s total]
  1: interior (5,10): pairing 737280  [2710 s total]
  1: interior (5,11): pairing 737280  [2833 s total]
  1: interior (5,12): pairing 26542080  [2969 s total]
  1: interior (6,10): pairing 368640  [3083 s total]
  1: interior (6,11): pairing 2211840  [3263 s total]
  1: interior (6,12): pairing 368640  [3423 s total]
  1: interior (6,13): pairing 23592960  [3662 s total]
  1: interior (7,12): pairing 371589120  [3959 s total]
  1: interior (7,13): pairing 12079595520  [4243 s total]
  1: interior (7,14): pairing 6957847019520  [4605 s total]
[PASS] 1: EVERY remaining interior point admits a one-symbol certificate with nonzero polynomial pairing  44 points, failures []
[PASS] 2: the orientation spot-check: targets x^2 and -x^2 give the SAME (EMPTY) verdict
  3: the assembly document is drafted separately (72108-closure-statement.md), FOR FELIPE.
RESULT: ALL CHECKS PASS.
