============================================================================
EXP-073: degree-3 triple-support necessaries (t = 1)
============================================================================
[PASS] 0: setup invariants  (0 s)
[PASS] 1: regression gate (20 sampled pairs feasible)  bad [] (3 s)
  2: 500/20825 triple supports OK (340 s)  [resume index 500]
  2: 1000/20825 triple supports OK (618 s)  [resume index 1000]
  2: 1500/20825 triple supports OK (960 s)  [resume index 1500]
  2: 2000/20825 triple supports OK (1260 s)  [resume index 2000]
  2: 2500/20825 triple supports OK (1545 s)  [resume index 2500]
  2: 3000/20825 triple supports OK (1895 s)  [resume index 3000]
  2: 3500/20825 triple supports OK (2174 s)  [resume index 3500]
  2: 4000/20825 triple supports OK (2529 s)  [resume index 4000]
  2: 4500/20825 triple supports OK (2821 s)  [resume index 4500]
  2: 5000/20825 triple supports OK (3190 s)  [resume index 5000]
  2: 5500/20825 triple supports OK (3508 s)  [resume index 5500]
  2: 6000/20825 triple supports OK (3878 s)  [resume index 6000]
  2: 6500/20825 triple supports OK (4241 s)  [resume index 6500]
  2: 7000/20825 triple supports OK (4703 s)  [resume index 7000]
  2: 7500/20825 triple supports OK (5098 s)  [resume index 7500]
  2: 8000/20825 triple supports OK (5401 s)  [resume index 8000]
  2: 8500/20825 triple supports OK (5648 s)  [resume index 8500]
  2: 9000/20825 triple supports OK (5915 s)  [resume index 9000]
  2: 9500/20825 triple supports OK (6167 s)  [resume index 9500]
  2: 10000/20825 triple supports OK (6446 s)  [resume index 10000]
  2: 10500/20825 triple supports OK (6726 s)  [resume index 10500]
  2: 11000/20825 triple supports OK (7005 s)  [resume index 11000]
  2: 11500/20825 triple supports OK (7283 s)  [resume index 11500]
  2: 12000/20825 triple supports OK (7571 s)  [resume index 12000]
  2: 12500/20825 triple supports OK (7876 s)  [resume index 12500]
  2: 13000/20825 triple supports OK (8183 s)  [resume index 13000]
  2: 13500/20825 triple supports OK (8516 s)  [resume index 13500]
  2: 14000/20825 triple supports OK (8879 s)  [resume index 14000]
  2: 14500/20825 triple supports OK (9219 s)  [resume index 14500]
  2: 15000/20825 triple supports OK (9479 s)  [resume index 15000]
  2: 15500/20825 triple supports OK (9753 s)  [resume index 15500]
  2: 16000/20825 triple supports OK (10032 s)  [resume index 16000]
  2: 16500/20825 triple supports OK (10313 s)  [resume index 16500]
  2: 17000/20825 triple supports OK (10723 s)  [resume index 17000]
  2: 17500/20825 triple supports OK (11159 s)  [resume index 17500]
  2: 18000/20825 triple supports OK (11577 s)  [resume index 18000]
  2: 18500/20825 triple supports OK (11927 s)  [resume index 18500]
  2: 19000/20825 triple supports OK (12314 s)  [resume index 19000]
  2: 19500/20825 triple supports OK (12685 s)  [resume index 19500]
  2: 20000/20825 triple supports OK (13005 s)  [resume index 20000]
  2: 20500/20825 triple supports OK (13414 s)  [resume index 20500]
[PASS] 2: the triple-support sweep  ALL triple supports feasible: degree 3 open through triples; quadruples or the constructive path staged
RESULT: ALL CHECKS PASS. (degree 3 open through triples)
