============================================================================
EXP-075: degree-3 quadruple-support necessaries (t = 1)
============================================================================
[PASS] 0: setup invariants  (0 s)
[PASS] 1: regression gate (20 sampled pairs feasible)  bad [] (2 s)
  2: 200/249900 quadruple supports OK (2138 s)  [resume index 200]
  2: 400/249900 quadruple supports OK (3610 s)  [resume index 400]
  2: 600/249900 quadruple supports OK (5169 s)  [resume index 600]
  2: 800/249900 quadruple supports OK (6236 s)  [resume index 800]
  2: 1000/249900 quadruple supports OK (7045 s)  [resume index 1000]
  2: 1200/249900 quadruple supports OK (7778 s)  [resume index 1200]
  2: 1400/249900 quadruple supports OK (9432 s)  [resume index 1400]
  2: 1600/249900 quadruple supports OK (10727 s)  [resume index 1600]
  2: 1800/249900 quadruple supports OK (12088 s)  [resume index 1800]
  2: 2000/249900 quadruple supports OK (13124 s)  [resume index 2000]
  2: 2200/249900 quadruple supports OK (13796 s)  [resume index 2200]
  2: 2400/249900 quadruple supports OK (14892 s)  [resume index 2400]
  2: 2600/249900 quadruple supports OK (16161 s)  [resume index 2600]
  2: 2800/249900 quadruple supports OK (17731 s)  [resume index 2800]
  2: 3000/249900 quadruple supports OK (18802 s)  [resume index 3000]
  2: 3200/249900 quadruple supports OK (19733 s)  [resume index 3200]
  2: 3400/249900 quadruple supports OK (20425 s)  [resume index 3400]
  2: 3600/249900 quadruple supports OK (21848 s)  [resume index 3600]
  2: 3800/249900 quadruple supports OK (23502 s)  [resume index 3800]
  2: 4000/249900 quadruple supports OK (24768 s)  [resume index 4000]
  2: 4200/249900 quadruple supports OK (25934 s)  [resume index 4200]
  2: 4400/249900 quadruple supports OK (26767 s)  [resume index 4400]
  2: 4600/249900 quadruple supports OK (28237 s)  [resume index 4600]
  2: 4800/249900 quadruple supports OK (30167 s)  [resume index 4800]
  2: 5000/249900 quadruple supports OK (32028 s)  [resume index 5000]
  2: 5200/249900 quadruple supports OK (33968 s)  [resume index 5200]
  2: 5400/249900 quadruple supports OK (35306 s)  [resume index 5400]
  2: 5600/249900 quadruple supports OK (37313 s)  [resume index 5600]
  2: 5800/249900 quadruple supports OK (39596 s)  [resume index 5800]
  2: 6000/249900 quadruple supports OK (41633 s)  [resume index 6000]
  2: 6200/249900 quadruple supports OK (43550 s)  [resume index 6200]
  2: 6400/249900 quadruple supports OK (45125 s)  [resume index 6400]
